LastInitial,BBRefName,PlayerName
h,haywago01,Gordon Hayward
h,hearnre01,Reggie Hearn
h,henrymy01,Myke Henry
h,hensojo01,John Henson
h,hernaju01,Juancho Hernangomez
h,hernawi01,Willy Hernangomez
h,hezonma01,Mario Hezonja
h,hicksis01,Isaiah Hicks
h,hieldbu01,Buddy Hield
h,hillge01,George Hill
h,hillso01,Solomon Hill
h,hillida01,Darrun Hilliard
h,holidjr01,Jrue Holiday
h,holidju01,Justin Holiday
h,hollajo01,John Holland
h,holliro01,Rondae HollisJefferson
h,holmeri01,Richaun Holmes
h,hoodro01,Rodney Hood
h,horfoal01,Al Horford
h,houseda01,Danuel House
h,howardw01,Dwight Howard
h,huestjo01,Josh Huestis
h,hunterj01,RJ Hunter
i,ibakase01,Serge Ibaka
i,iguodan01,Andre Iguodala
i,ilyaser01,Ersan Ilyasova
i,inglejo01,Joe Ingles
i,ingrabr01,Brandon Ingram
i,irvinky01,Kyrie Irving
i,isaacjo01,Jonathan Isaac
i,iwundwe01,Wes Iwundu
j,jackja01,Jarrett Jack
j,jacksde01,Demetrius Jackson
j,jacksfr01,Frank Jackson
j,jacksjo01,Josh Jackson
j,jacksju01,Justin Jackson
j,jacksre01,Reggie Jackson
j,jamesle01,LeBron James
j,jeffeal01,Al Jefferson
j,jeffeam01,Amile Jefferson
j,jefferi01,Richard Jefferson
j,jennibr01,Brandon Jennings
j,jerebjo01,Jonas Jerebko
j,johnsam01,Amir Johnson
j,johnsbr01,Brice Johnson
j,johnsda01,Dakari Johnson
j,johnsja01,James Johnson
j,johnsjo01,Joe Johnson
j,johnsst01,Stanley Johnson
j,johnsty01,Tyler Johnson
j,johnswe01,Wesley Johnson
j,jokicni01,Nikola Jokic
j,jonesda01,Damian Jones
j,jonesja01,Jalen Jones
j,jonesty01,Tyus Jones
j,jonesde01,Derrick Jones Jr.
j,jordade01,DeAndre Jordan
j,josepco01,Cory Joseph
k,kaminfr01,Frank Kaminsky
k,kanteen01,Enes Kanter
k,kennalu01,Luke Kennard
k,kiddgmi01,Michael KiddGilchrist
k,kilpase01,Sean Kilpatrick
k,klebema01,Maxi Kleber
k,knighbr01,Brandon Knight
k,korkmfu01,Furkan Korkmaz
k,kornelu01,Luke Kornet
k,korveky01,Kyle Korver
k,koufoko01,Kosta Koufos
k,kuzmaky01,Kyle Kuzma
l,lavinza01,Zach LaVine
l,labissk01,Skal Labissiere
l,lambje01,Jeremy Lamb
l,larkish01,Shane Larkin
l,lauvejo01,Joffrey Lauvergne
l,laymaja01,Jake Layman
l,leverca01,Caris LeVert
l,leaftj01,TJ Leaf
l,leeco01,Courtney Lee
l,leeda01,Damion Lee
l,lenal01,Alex Len
l,leonaka01,Kawhi Leonard
l,leoname01,Meyers Leonard
l,leuerjo01,Jon Leuer
l,liggide01,DeAndre Liggins
l,lillada01,Damian Lillard
l,linje01,Jeremy Lin
l,livinsh01,Shaun Livingston
l,looneke01,Kevon Looney
l,lopezbr01,Brook Lopez
l,lopezro01,Robin Lopez
l,loveke01,Kevin Love
l,lowryky01,Kyle Lowry
l,luwawti01,Timothe LuwawuCabarrot
l,lydonty01,Tyler Lydon
l,lylestr01,Trey Lyles
m,macksh01,Shelvin Mack
m,magetjo01,Josh Magette
m,mahinia01,Ian Mahinmi
m,makerth01,Thon Maker
m,marjabo01,Boban Marjanovic
m,markkla01,Lauri Markkanen
m,martija01,Jarell Martin
m,masonfr01,Frank Mason
m,mathima01,Mangok Mathiang
m,matthwe01,Wesley Matthews
m,mbahalu01,Luc Mbah a Moute
m,mccawpa01,Patrick McCaw
m,mccolcj01,CJ McCollum
m,mccontj01,TJ McConnell
m,mccreer01,Erik McCree
m,mcculch01,Chris McCullough
m,mcderdo01,Doug McDermott
m,mcgeeja01,JaVale McGee
m,mcgruro01,Rodney McGruder
m,mckinal01,Alfonzo McKinnie
m,mclembe01,Ben McLemore
m,meeksjo01,Jodie Meeks
m,mejrisa01,Salah Mejri
m,mickejo01,Jordan Mickey
m,middlkh01,Khris Middleton
m,milescj01,CJ Miles
m,milleda01,Darius Miller
m,millema01,Malcolm Miller
m,millspa01,Patty Mills
m,millspa01,Paul Millsap
m,mirotni01,Nikola Mirotic
m,mitchdo01,Donovan Mitchell
m,monkma01,Malik Monk
m,monrogr01,Greg Monroe
m,moorebe01,Ben Moore
m,mooreet01,ETwaun Moore
m,moreler01,Eric Moreland
m,morrija01,Jaylen Morris
m,morrima01,Marcus Morris
m,morrima01,Markieff Morris
m,morrimo01,Monte Morris
m,motlejo01,Johnathan Motley
m,mozgoti01,Timofey Mozgov
m,mudiaem01,Emmanuel Mudiay
m,muhamsh01,Shabazz Muhammad
m,munfoxa01,Xavier Munford
m,murrade01,Dejounte Murray
m,murraja01,Jamal Murray
m,muscami01,Mike Muscala
n,nene01,Nene
n,naderab01,Abdel Nader
n,nancela01,Larry Nance Jr.
n,napiesh01,Shabazz Napier
n,nelsoja01,Jameer Nelson
n,netora01,Raul Neto
n,niangge01,Georges Niang
n,noahjo01,Joakim Noah
n,noelne01,Nerlens Noel
n,noguelu01,Lucas Nogueira
n,nowitdi01,Dirk Nowitzki
n,ntilifr01,Frank Ntilikina
n,nurkiju01,Jusuf Nurkic
n,nwabada01,David Nwaba
o,onealro01,Royce ONeale
o,oquinky01,Kyle OQuinn
o,ojelese01,Semi Ojeleye
o,okafoem01,Emeka Okafor
o,okafoja01,Jahlil Okafor
o,oladivi01,Victor Oladipo
o,olynyke01,Kelly Olynyk
o,onuakch01,Chinanu Onuaku
o,osmance01,Cedi Osman
o,oubreke01,Kelly Oubre Jr.
p,pachuza01,Zaza Pachulia
p,paigema01,Marcus Paige
p,papagge01,Georgios Papagiannis
p,parkeja01,Jabari Parker
p,parketo01,Tony Parker
p,parsoch01,Chandler Parsons
p,pattepa01,Patrick Patterson
p,pattoju01,Justin Patton
p,paulbr01,Brandon Paul
p,paulch01,Chris Paul
p,payneca01,Cameron Payne
p,paytoel01,Elfrid Payton
p,paytoga01,Gary Payton II
p,perralo01,London Perrantes
p,peteral01,Alec Peters
p,plumlma01,Marshall Plumlee
p,plumlma01,Mason Plumlee
p,plumlmi01,Miles Plumlee
p,poeltja01,Jakob Poeltl
p,porteot01,Otto Porter Jr.
p,portibo01,Bobby Portis
p,porzikr01,Kristaps Porzingis
p,poweldw01,Dwight Powell
p,powelno01,Norman Powell
p,poythal01,Alex Poythress
p,princta01,Taurean Prince
p,purviro01,Rodney Purvis
r,rabbiv01,Ivan Rabb
r,randlju01,Julius Randle
r,randoza01,Zach Randolph
r,redicjj01,JJ Redick
r,reedda01,Davon Reed
r,richajo01,Josh Richardson
r,richama01,Malachi Richardson
r,riverau01,Austin Rivers
r,roberan01,Andre Roberson
r,robinde01,Devin Robinson
r,robingl01,Glenn Robinson III
r,rondora01,Rajon Rondo
r,rosede01,Derrick Rose
r,rosste01,Terrence Ross
r,roziete01,Terry Rozier
r,rubiori01,Ricky Rubio
r,russeda01,DAngelo Russell
s,sabondo01,Domantas Sabonis
s,sampsja01,JaKarr Sampson
s,saricda01,Dario Saric
s,satorto01,Tomas Satoransky
s,schrode01,Dennis Schroder
s,scottmi01,Mike Scott
s,sefolth01,Thabo Sefolosha
s,seldewa01,Wayne Selden
s,sessira01,Ramon Sessions
s,shumpim01,Iman Shumpert
s,siakapa01,Pascal Siakam
s,simmobe01,Ben Simmons
s,simmojo01,Jonathon Simmons
s,simmoko01,Kobi Simmons
s,singlky01,Kyle Singler
s,smartma01,Marcus Smart
s,smithis01,Ish Smith
s,smithjr01,JR Smith
s,smithja01,Jason Smith
s,smithde01,Dennis Smith Jr.
s,snellto01,Tony Snell
s,speigma01,Marreese Speights
s,stausni01,Nik Stauskas
s,stephla01,Lance Stephenson
s,stockda01,David Stockton
s,stoneju01,Julyan Stone
s,sumneed01,Edmond Sumner
s,swanica01,Caleb Swanigan
t,tatumja01,Jayson Tatum
t,taylois01,Isaiah Taylor
t,teaguje01,Jeff Teague
t,templga01,Garrett Temple
t,teodomi01,Milos Teodosic
t,terryja01,Jason Terry
t,theisda01,Daniel Theis
t,thomais01,Isaiah Thomas
t,thomala01,Lance Thomas
t,thompkl01,Klay Thompson
t,thomptr01,Tristan Thompson
t,thornsi01,Sindarius Thornwell
t,tollian01,Anthony Tolliver
t,townska01,KarlAnthony Towns
t,tuckepj01,PJ Tucker
t,turneev01,Evan Turner
t,turnemy01,Myles Turner
u,udohek01,Ekpe Udoh
u,ulisty01,Tyler Ulis
v,valanjo01,Jonas Valanciunas
v,valende01,Denzel Valentine
v,vanvlfr01,Fred VanVleet
v,vaughra01,Rashad Vaughn
v,vonleno01,Noah Vonleh
v,vucevni01,Nikola Vucevic
w,wadedw01,Dwyane Wade
w,waitedi01,Dion Waiters
w,walkeke01,Kemba Walker
w,walljo01,John Wall
w,wallaty01,Tyrone Wallace
w,waltode01,Derrick Walton Jr.
w,warneja01,Jameel Warney
w,warretj01,TJ Warren
w,weartr01,Travis Wear
w,webbja01,James Webb III
w,weberbr01,Briante Weber
w,westda01,David West
w,westbru01,Russell Westbrook
w,whitede01,Derrick White
w,whiteok01,Okaro White
w,whitean01,Andrew White III
w,whiteis01,Isaiah Whitehead
w,whiteha01,Hassan Whiteside
w,wiggian01,Andrew Wiggins
w,wilcocj01,CJ Wilcox
w,willial01,Alan Williams
w,willicj01,CJ Williams
w,willilo01,Lou Williams
w,willima01,Marvin Williams
w,willitr01,Troy Williams
w,wilsodj01,DJ Wilson
w,winslju01,Justise Winslow
w,wrighbr01,Brandan Wright
w,wrighde01,Delon Wright
y,yabusgu01,Guerschon Yabusele
y,youngja01,James Young
y,youngjo01,Joe Young
y,youngni01,Nick Young
y,youngth01,Thaddeus Young
z,zhouqi01,Zhou Qi
z,zelleco01,Cody Zeller
z,zellety01,Tyler Zeller
z,zipsepa01,Paul Zipser
z,zizican01,Ante Zizic
z,zubaciv01,Ivica Zubac
